ego_x,ego_y,ego_heading,lead_x,lead_y,lead_heading
-66.46093114114714,-104.73017309384946,-0.1565710556075354,-57.03531167742575,-104.87359826258664,-0.054924042767695865
-67.28005077001296,-104.99290308567991,-0.1973434669396953,-56.42186252626412,-105.54786584902855,-0.001629690127934772
-66.47939936043731,-105.11014829927835,-0.19187934167732626,-57.648207486662784,-105.4916818075387,-0.022918604892052094
-66.4390257374993,-104.67219723231158,-0.20592323466296697,-56.84928689435809,-105.5063824464122,-0.012978465135251346
